Namespace(batch_size=128, depth=[784, 400, 400], drop_rate=0.2, epochs=100, evaluate=False, gammas=[0.1, 0.1], log_file='mlp_mnist_lr0.1_wd1e-4.log', lr=0.1, model='mlp_mnist', momentum=0.9, resume='', save_path='./save/mlp_mnist/mlp_mnist_lr0.1_wd1e-4_LRstepTrue/', schedule=[60, 80], use_cuda=True, weight_decay=0.0001)
==> Building model..

MLP(
  (mlp): Sequential(
    (0): Linear(in_features=784, out_features=400, bias=True)
    (1): ReLU(inplace=True)
    (2): Dropout(p=0.2, inplace=False)
    (3): Linear(in_features=400, out_features=400, bias=True)
    (4): ReLU(inplace=True)
    (5): Dropout(p=0.2, inplace=False)
  )
  (classifier): Linear(in_features=400, out_features=10, bias=True)
)
----  --------  ---------  --------  ----------  ---------  ----------
  46    0.1000     0.0204   99.3080      0.0848    97.8300     98.3700
  47    0.1000     0.0217   99.2640      0.0655    98.4500     98.4500
  48    0.1000     0.0166   99.4480      0.0673    98.3600     98.4500
  49    0.1000     0.0175   99.4340      0.0668    98.3800     98.4500
  50    0.1000     0.0163   99.4920      0.0675    98.4500     98.4500
  51    0.1000     0.0160   99.4620      0.0718    98.2100     98.4500
  52    0.1000     0.0181   99.4080      0.0832    97.9900     98.4500
  53    0.1000     0.0172   99.4280      0.0635    98.2800     98.4500
  54    0.1000     0.0154   99.5120      0.0666    98.3900     98.4500
  55    0.1000     0.0165   99.4800      0.0666    98.2300     98.4500
  56    0.1000     0.0160   99.5040      0.0748    98.0800     98.4500
  57    0.1000     0.0189   99.3600      0.0672    98.2000     98.4500
  58    0.1000     0.0182   99.3980      0.0693    98.2400     98.4500
  59    0.1000     0.0180   99.3800      0.0660    98.2400     98.4500
  60    0.1000     0.0147   99.4900      0.0630    98.3800     98.4500
  61    0.0100     0.0065   99.8300      0.0566    98.5900     98.5900
  62    0.0100     0.0047   99.8860      0.0566    98.5900     98.5900
  63    0.0100     0.0040   99.9260      0.0553    98.6700     98.6700
  64    0.0100     0.0038   99.9200      0.0559    98.6300     98.6700
  65    0.0100     0.0035   99.9300      0.0568    98.6500     98.6700
  66    0.0100     0.0034   99.9380      0.0559    98.6700     98.6700
  67    0.0100     0.0031   99.9420      0.0558    98.6900     98.6900
  68    0.0100     0.0028   99.9560      0.0556    98.6900     98.6900
  69    0.0100     0.0031   99.9360      0.0555    98.6600     98.6900
  70    0.0100     0.0028   99.9500      0.0556    98.6500     98.6900
  71    0.0100     0.0030   99.9440      0.0552    98.6400     98.6900
  72    0.0100     0.0028   99.9440      0.0563    98.6000     98.6900
  73    0.0100     0.0030   99.9460      0.0559    98.6200     98.6900
  74    0.0100     0.0026   99.9540      0.0570    98.5500     98.6900
  75    0.0100     0.0029   99.9500      0.0555    98.6300     98.6900
  76    0.0100     0.0031   99.9140      0.0551    98.6400     98.6900
  77    0.0100     0.0026   99.9520      0.0549    98.7000     98.7000
  78    0.0100     0.0028   99.9480      0.0545    98.6900     98.7000
  79    0.0100     0.0024   99.9700      0.0545    98.6600     98.7000
  80    0.0100     0.0026   99.9680      0.0544    98.6800     98.7000
  81    0.0010     0.0024   99.9600      0.0545    98.6700     98.7000
  82    0.0010     0.0027   99.9480      0.0547    98.6600     98.7000
  83    0.0010     0.0026   99.9640      0.0548    98.6500     98.7000
  84    0.0010     0.0023   99.9620      0.0548    98.6800     98.7000
  85    0.0010     0.0025   99.9560      0.0548    98.6700     98.7000
  86    0.0010     0.0023   99.9700      0.0547    98.6600     98.7000
  87    0.0010     0.0026   99.9520      0.0547    98.6700     98.7000
  88    0.0010     0.0024   99.9620      0.0547    98.6900     98.7000
  89    0.0010     0.0028   99.9440      0.0547    98.6700     98.7000
  90    0.0010     0.0026   99.9500      0.0547    98.6800     98.7000
  91    0.0010     0.0024   99.9740      0.0547    98.6700     98.7000
  92    0.0010     0.0025   99.9600      0.0548    98.6900     98.7000
  93    0.0010     0.0023   99.9720      0.0547    98.6800     98.7000
  94    0.0010     0.0026   99.9580      0.0548    98.6800     98.7000
  95    0.0010     0.0024   99.9720      0.0549    98.6500     98.7000
  96    0.0010     0.0023   99.9680      0.0546    98.6600     98.7000
  97    0.0010     0.0024   99.9700      0.0545    98.6800     98.7000
  98    0.0010     0.0023   99.9720      0.0546    98.6600     98.7000
  99    0.0010     0.0026   99.9640      0.0545    98.6500     98.7000
 100    0.0010     0.0026   99.9500      0.0545    98.6800     98.7000
Test accuracy: 98.81
